Dates, ACWI INDEX , SPX INDEX , NDX INDEX , MXEF INDEX , DAX INDEX , SXXE INDEX , UKX INDEX , TPX INDEX , ILS Curncy , EUR  Curncy , GBP Curncy , JPY Curncy ,,,,,,,
29/10/2020, 0.79 , 1.19 , 1.87 , -0.06 , 0.32 , -0.05 , -0.02 , -0.10 , 0.26 , -0.61 , -0.41 , 0.28 ,,,,,,,
28/10/2020, -3.19 , -3.53 , -3.93 , -1.17 , -4.17 , -3.29 , -2.55 , -0.31 , 0.74 , -0.42 , -0.47 , -0.10 ,,,,,,,
27/10/2020, -0.33 , -0.30 , 0.82 , 0.30 , -0.93 , -1.16 , -1.09 , -0.09 , -0.26 , -0.12 , 0.15 , -0.40 ,,,,,,,
26/10/2020, -1.69 , -1.86 , -1.61 , -0.51 , -3.71 , -2.42 , -1.16 , -0.39 , 0.54 , -0.42 , -0.12 , 0.12 ,,,,,,,
23/10/2020, 0.43 , 0.34 , 0.25 , -0.01 , 0.82 , 0.79 , 1.29 , 0.34 , -0.18 , 0.36 , -0.34 , -0.14 ,,,,,,,
22/10/2020, 0.32 , 0.52 , -0.02 , -0.12 , -0.12 , -0.18 , 0.16 , -1.09 , 0.13 , -0.36 , -0.50 , 0.26 ,,,,,,,
21/10/2020, -0.24 , -0.22 , -0.11 , 0.35 , -1.41 , -1.48 , -1.91 , 0.73 , -0.11 , 0.33 , 1.55 , -0.86 ,,,,,,,
20/10/2020, 0.48 , 0.47 , 0.37 , 0.59 , -0.92 , -0.35 , 0.08 , -0.75 , -0.19 , 0.45 , -   , 0.07 ,,,,,,,
19/10/2020, -0.98 , -1.63 , -1.84 , 0.28 , -0.42 , -0.07 , -0.59 , 1.25 , 0.25 , 0.44 , 0.26 , 0.03 ,,,,,,,
16/10/2020, 0.06 , 0.01 , -0.39 , 0.32 , 1.62 , 1.41 , 1.49 , -0.86 , -0.33 , 0.09 , 0.05 , -0.05 ,,,,,,,
15/10/2020, -0.52 , -0.15 , -0.72 , -1.32 , -2.49 , -2.17 , -1.73 , -0.74 , 0.28 , -0.32 , -0.79 , 0.27 ,,,,,,,
14/10/2020, -0.48 , -0.66 , -0.81 , -0.08 , 0.07 , 0.05 , -0.58 , -0.32 , -0.37 , -   , 0.58 , -0.29 ,,,,,,,
13/10/2020, -0.67 , -0.63 , -0.04 , -0.07 , -0.91 , -0.65 , -0.53 , 0.35 , 0.03 , -0.57 , -0.97 , 0.14 ,,,,,,,
12/10/2020, 1.17 , 1.64 , 3.09 , 1.31 , 0.67 , 0.73 , -0.25 , -0.24 , 0.39 , -0.11 , 0.21 , -0.27 ,,,,,,,
09/10/2020, 0.85 , 0.88 , 1.51 , 0.45 , 0.07 , 0.45 , 0.65 , -0.49 , -0.31 , 0.57 , 0.76 , -0.39 ,,,,,,,
08/10/2020, 0.81 , 0.80 , 0.42 , 0.86 , 0.88 , 0.79 , 0.53 , 0.55 , -0.44 , -0.03 , 0.15 , 0.05 ,,,,,,,
07/10/2020, 1.37 , 1.74 , 1.88 , 0.49 , 0.17 , 0.01 , -0.06 , 0.04 , -0.42 , 0.25 , 0.30 , 0.33 ,,,,,,,
06/10/2020, -1.07 , -1.40 , -1.89 , 1.02 , 0.61 , 0.42 , 0.12 , 0.52 , 0.34 , -0.42 , -0.76 , -0.11 ,,,,,,,
05/10/2020, 1.65 , 1.80 , 2.25 , 0.89 , 1.10 , 1.05 , 0.69 , 1.74 , -0.77 , 0.57 , 0.34 , 0.44 ,,,,,,,
02/10/2020, -0.76 , -0.96 , -2.83 , -0.29 , -0.33 , -0.03 , 0.39 , -1.00 , 0.25 , -0.27 , 0.34 , -0.23 ,,,,,,,
01/10/2020, 0.75 , 0.53 , 1.45 , 0.26 , -0.23 , 0.27 , 0.23 , -   , -0.06 , 0.23 , -0.22 , 0.05 ,,,,,,,
30/09/2020, 0.45 , 0.83 , 0.84 , 1.24 , -0.51 , -0.31 , -0.53 , -1.97 , -0.51 , -0.20 , 0.44 , -0.17 ,,,,,,,
29/09/2020, -0.35 , -0.48 , -0.37 , -0.10 , -0.35 , -0.37 , -0.51 , -0.23 , -0.77 , 0.67 , 0.23 , 0.15 ,,,,,,,
28/09/2020, 1.59 , 1.61 , 1.91 , 1.02 , 3.22 , 2.53 , 1.46 , 1.69 , -0.29 , 0.30 , 0.69 , -0.08 ,,,,,,,
25/09/2020, 1.09 , 1.60 , 2.34 , 0.13 , -1.09 , -0.57 , 0.34 , 0.48 , 0.12 , -0.35 , -0.01 , 0.16 ,,,,,,,
24/09/2020, 0.05 , 0.30 , 0.58 , -1.85 , -0.29 , -0.63 , -1.30 , -1.08 , 0.29 , 0.10 , 0.18 , 0.02 ,,,,,,,
23/09/2020, -1.86 , -2.37 , -3.16 , -0.48 , 0.39 , 0.44 , 1.20 , -0.13 , 0.90 , -0.41 , -0.07 , 0.44 ,,,,,,,
22/09/2020, 0.47 , 1.05 , 1.88 , -0.69 , 0.41 , 0.18 , 0.43 , 0.49 , -0.52 , -0.54 , -0.66 , 0.27 ,,,,,,,
21/09/2020, -1.38 , -1.16 , 0.40 , -1.64 , -4.37 , -3.60 , -3.38 , 0.49 , 1.02 , -0.58 , -0.77 , 0.08 ,,,,,,,
18/09/2020, -0.94 , -1.12 , -1.30 , 0.15 , -0.70 , -0.81 , -0.71 , 0.49 , -0.18 , -0.07 , -0.43 , -0.16 ,,,,,,,
17/09/2020, -0.54 , -0.84 , -1.48 , -0.91 , -0.36 , -0.57 , -0.47 , -0.36 , 0.05 , 0.27 , 0.05 , -0.20 ,,,,,,,
16/09/2020, -0.27 , -0.46 , -1.67 , 0.39 , 0.29 , 0.36 , -0.44 , 0.21 , -0.14 , -0.26 , 0.61 , -0.46 ,,,,,,,
15/09/2020, 0.67 , 0.52 , 1.43 , 0.76 , 0.18 , 0.44 , 1.32 , -0.62 , -0.31 , -0.16 , 0.33 , -0.27 ,,,,,,,
14/09/2020, 1.23 , 1.27 , 1.72 , 1.14 , -0.07 , 0.13 , -0.10 , 0.88 , -0.71 , 0.17 , 0.39 , -0.41 ,,,,,,,
11/09/2020, 0.36 , 0.05 , -0.60 , 0.60 , -0.05 , -   , 0.48 , 0.72 , 0.97 , 0.26 , -0.07 , 0.03 ,,,,,,,
10/09/2020, -1.47 , -1.76 , -2.12 , -0.04 , -0.21 , -0.24 , -0.16 , 1.21 , 1.00 , 0.10 , -1.52 , -0.05 ,,,,,,,
09/09/2020, 1.96 , 2.01 , 2.96 , -0.16 , 2.07 , 1.73 , 1.39 , -0.96 , 0.02 , 0.21 , 0.15 , 0.14 ,,,,,,,
08/09/2020, -2.34 , -2.78 , -4.77 , -0.64 , -1.01 , -1.37 , -0.12 , 0.69 , 0.46 , -0.33 , -1.40 , -0.23 ,,,,,,,
07/09/2020, -0.49 , -0.81 , -1.27 , -0.45 , 2.01 , 1.69 , 2.39 , -0.42 , 0.32 , -0.18 , -0.85 , 0.03 ,,,,,,,
04/09/2020, -0.49 , -0.81 , -1.27 , -0.84 , -1.65 , -1.20 , -0.88 , -0.90 , 0.12 , -0.12 , -0.02 , 0.05 ,,,,,,,
03/09/2020, -3.05 , -3.51 , -5.23 , -0.90 , -1.40 , -1.25 , -1.52 , 0.48 , 0.07 , -0.03 , -0.52 , 0.01 ,,,,,,,
02/09/2020, 1.14 , 1.54 , 1.04 , -0.10 , 2.07 , 1.62 , 1.35 , 0.47 , 0.01 , -0.48 , -0.25 , 0.21 ,,,,,,,
01/09/2020, 0.86 , 0.75 , 1.50 , 1.68 , 0.22 , 0.07 , -1.70 , -0.15 , 0.23 , -0.20 , 0.10 , 0.05 ,,,,,,,
31/08/2020, -0.60 , -0.22 , 0.96 , -1.79 , -0.67 , -1.03 , -0.61 , 0.83 , -0.17 , 0.28 , 0.13 , 0.51 ,,,,,,,
28/08/2020, 0.77 , 0.67 , 0.58 , 0.39 , -0.48 , -0.37 , -0.61 , -0.68 , -0.41 , 0.69 , 1.15 , -1.13 ,,,,,,,
27/08/2020, -0.30 , 0.17 , -0.38 , -0.19 , -0.71 , -0.80 , -0.75 , -0.53 , -0.78 , -0.07 , -0.07 , 0.55 ,,,,,,,
26/08/2020, 0.82 , 1.02 , 2.13 , 0.41 , 0.98 , 0.94 , 0.14 , -0.05 , 0.01 , -0.04 , 0.44 , -0.38 ,,,,,,,
